target_name,target_value,plc_address,zero_based_address,interpretation,decoded_value,difference,register_1,register_2
Bande Redox,50.0,42363,2362,Float DCBA,50.0,0.0,0,18498
Bande Redox,50.0,42364,2363,Float BADC,50.0,0.0,18498,0
Bande pH,0.2,42163,2162,Float DCBA,0.20000000298023224,2.980232227667301e-09,52684,19518
Bande pH,0.2,42164,2163,Float BADC,0.19921875,0.0007812500000000111,19518,0
Redox actuel,882.0,42323,2322,Float DCBA,882.1544799804688,0.15447998046875,58249,23620
Redox actuel,882.0,41303,1302,Float CDAB,882.182373046875,0.182373046875,35756,17500
Redox actuel,882.0,41403,1402,Float CDAB,882.1893920898438,0.18939208984375,35871,17500
pH actuel,7.17,41204,1203,Float ABCD,7.168749809265137,0.0012501907348632102,16613,26214
pH actuel,7.17,41402,1401,Float ABCD,7.173354625701904,0.003354625701904368,16613,35871
pH actuel,7.17,41401,1400,Float CDAB,7.173377990722656,0.003377990722656321,35920,16613
pH actuel,7.17,41203,1202,Float CDAB,7.173502445220947,0.0035024452209473367,36181,16613
pH actuel,7.17,42123,2122,Float DCBA,7.173519134521484,0.003519134521484446,30861,58688
pH actuel,7.17,42124,2123,Float BADC,7.15625,0.013749999999999929,58688,0
pH actuel,7.17,41206,1205,Float ABCD,7.1875,0.01750000000000007,16614,0
pH actuel,7.17,41205,1204,Float CDAB,7.199999809265137,0.02999980926513679,26214,16614
pH actuel,7.17,42159,2158,Float DCBA,7.199999809265137,0.02999980926513679,26214,58944
