start_address_zero_based,plc_address,register_1,register_2,format,float_value
1,40002,22913,17165,float_cdab,141.34962463378906
2,40003,17165,0,float_abcd,141.0
4,40005,0,20530,float_dcba,1.210719347000122e-08
5,40006,20530,6401,float_badc,1.2107443048137156e-08
29,40030,224,8770,float_dcba,40.71875
30,40031,8770,12482,float_badc,40.68963623046875
30,40031,8770,12482,float_dcba,-44.06458282470703
31,40032,12482,51200,float_badc,-44.000762939453125
33,40034,0,49299,float_cdab,-4.59375
34,40035,49299,31170,float_abcd,-4.608613014221191
34,40035,49299,31170,float_dcba,-62.394287109375
35,40036,31170,0,float_badc,-62.25
50,40051,0,32831,float_dcba,1.0
51,40052,32831,116,float_badc,1.0035400390625
52,40053,116,1599,float_dcba,0.52520751953125
53,40054,1599,0,float_badc,0.5234375
66,40067,2775,41790,float_dcba,0.3199999928474426
67,40068,41790,13107,float_cdab,4.1825153118679737e-08
67,40068,41790,13107,float_badc,0.3187499940395355
67,40068,41790,13107,float_dcba,4.173365297788223e-08
68,40069,13107,45888,float_abcd,4.183971213933546e-08
68,40069,13107,45888,float_cdab,-4.475004899973101e-08
68,40069,13107,45888,float_badc,4.1735528810704636e-08
68,40069,13107,45888,float_dcba,5.599999904632568
69,40070,45888,0,float_abcd,-4.470348358154297e-08
69,40070,45888,0,float_badc,5.59375
205,40206,0,56,float_dcba,3.0517578125e-05
206,40207,56,672,float_badc,3.066659701289609e-05
208,40209,3920,16480,float_cdab,3.500934600830078
209,40210,16480,23120,float_abcd,3.505512237548828
223,40224,60249,49304,float_cdab,-4.77872896194458
224,40225,49304,23312,float_abcd,-4.761116027832031
255,40256,0,56,float_dcba,3.0517578125e-05
256,40257,56,576,float_badc,3.0577190045733005e-05
256,40257,56,576,float_dcba,2.03466796875
257,40258,576,3395,float_badc,2.0353424549102783
257,40258,576,3395,float_dcba,141.25003051757812
258,40259,3395,8353,float_badc,141.62939453125
259,40260,8353,14160,float_cdab,1.240536312252516e-05
260,40261,14160,63548,float_abcd,1.2455562682589516e-05
260,40261,14160,63548,float_dcba,0.030311686918139458
261,40262,63548,2,float_badc,0.030274391174316406
271,40272,24750,14864,float_cdab,0.0005507570458576083
272,40273,14864,60217,float_abcd,0.0005528214969672263
272,40273,14864,60217,float_dcba,0.00044834782602265477
273,40274,60217,53,float_badc,0.00044862180948257446
273,40274,60217,53,float_dcba,4.776799755745742e-07
274,40275,53,15392,float_cdab,0.009765674360096455
274,40275,53,15392,float_badc,4.773062300955644e-07
275,40276,15392,41303,float_abcd,0.009804091416299343
306,40307,1,60,float_dcba,0.007812738418579102
307,40308,60,211,float_badc,0.00786280632019043
1000,41001,13696,49453,float_abcd,9.59296471592097e-07
1000,41001,13696,49453,float_cdab,-10.8255615234375
1001,41002,49453,44361,float_abcd,-10.854805946350098
1002,41003,44361,17500,float_cdab,882.7075805664062
1003,41004,17500,61504,float_abcd,883.75390625
1003,41004,17500,61504,float_dcba,7.511262893676758
1004,41005,61504,15375,float_cdab,0.00878530740737915
1004,41005,61504,15375,float_badc,7.501859664916992
1005,41006,15375,0,float_abcd,0.00872802734375
1202,41203,36181,16613,float_cdab,7.173502445220947
