plc_address,zero_based_address,register_1,register_2,interpretation,decoded_value
41201,1200,9,,Int16,9.0
41201,1200,9,,Int16 / 10,0.9
41201,1200,9,,Int16 / 100,0.09
41201,1200,9,,Int16 / 1000,0.009
41201,1200,9,,UInt16,9.0
41201,1200,9,,UInt16 / 10,0.9
41201,1200,9,,UInt16 / 100,0.09
41201,1200,9,,UInt16 / 1000,0.009
41203,1202,36181,16613,Float CDAB,7.173502445220947
41203,1202,36181,,Int16 / 100,-293.55
41203,1202,36181,,Int16 / 1000,-29.355
41203,1202,36181,,UInt16 / 10,3618.1
41203,1202,36181,,UInt16 / 100,361.81
41203,1202,36181,,UInt16 / 1000,36.181
41204,1203,16613,26214,Float ABCD,7.168749809265137
41204,1203,16613,,Int16 / 10,1661.3
41204,1203,16613,,Int16 / 100,166.13
41204,1203,16613,,Int16 / 1000,16.613
41204,1203,16613,,UInt16 / 10,1661.3
41204,1203,16613,,UInt16 / 100,166.13
41204,1203,16613,,UInt16 / 1000,16.613
41205,1204,26214,16614,Float CDAB,7.199999809265137
41205,1204,26214,,Int16 / 10,2621.4
41205,1204,26214,,Int16 / 100,262.14
41205,1204,26214,,Int16 / 1000,26.214
41205,1204,26214,,UInt16 / 10,2621.4
41205,1204,26214,,UInt16 / 100,262.14
41205,1204,26214,,UInt16 / 1000,26.214
41206,1205,16614,0,Float ABCD,7.1875
41206,1205,16614,,Int16 / 10,1661.4
41206,1205,16614,,Int16 / 100,166.14
41206,1205,16614,,Int16 / 1000,16.614
41206,1205,16614,,UInt16 / 10,1661.4
41206,1205,16614,,UInt16 / 100,166.14
41206,1205,16614,,UInt16 / 1000,16.614
41209,1208,0,16648,Float CDAB,8.5
41210,1209,16648,39322,Float ABCD,8.537500381469727
41210,1209,16648,,Int16 / 10,1664.8
41210,1209,16648,,Int16 / 100,166.48
41210,1209,16648,,Int16 / 1000,16.648
41210,1209,16648,,UInt16 / 10,1664.8
41210,1209,16648,,UInt16 / 100,166.48
41210,1209,16648,,UInt16 / 1000,16.648
41211,1210,39322,16601,Float CDAB,6.800000190734863
41211,1210,39322,,Int16 / 100,-262.14
41211,1210,39322,,Int16 / 1000,-26.214
41211,1210,39322,,UInt16 / 10,3932.2
41211,1210,39322,,UInt16 / 100,393.22
41211,1210,39322,,UInt16 / 1000,39.322
41212,1211,16601,0,Float ABCD,6.78125
41212,1211,16601,,Int16 / 10,1660.1
41212,1211,16601,,Int16 / 100,166.01
41212,1211,16601,,Int16 / 1000,16.601
41212,1211,16601,,UInt16 / 10,1660.1
41212,1211,16601,,UInt16 / 100,166.01
41212,1211,16601,,UInt16 / 1000,16.601
41301,1300,4105,,Int16,4105.0
41301,1300,4105,,Int16 / 10,410.5
41301,1300,4105,,Int16 / 100,41.05
41301,1300,4105,,Int16 / 1000,4.105
41301,1300,4105,,UInt16,4105.0
41301,1300,4105,,UInt16 / 10,410.5
41301,1300,4105,,UInt16 / 100,41.05
41301,1300,4105,,UInt16 / 1000,4.105
41303,1302,35756,17500,Float CDAB,882.182373046875
41303,1302,35756,,Int16 / 100,-297.8
41303,1302,35756,,Int16 / 1000,-29.78
41303,1302,35756,,UInt16 / 10,3575.6
41303,1302,35756,,UInt16 / 100,357.56
