address_zero_based,plc_address,unsigned_16,signed_16,hex
0,40001,0,0,0x0000
1,40002,22913,22913,0x5981
2,40003,17165,17165,0x430D
3,40004,0,0,0x0000
4,40005,0,0,0x0000
5,40006,20530,20530,0x5032
6,40007,6401,6401,0x1901
7,40008,5120,5120,0x1400
8,40009,11265,11265,0x2C01
9,40010,53764,-11772,0xD204
10,40011,0,0,0x0000
11,40012,255,255,0x00FF
12,40013,0,0,0x0000
13,40014,65280,-256,0xFF00
14,40015,65280,-256,0xFF00
15,40016,65535,-1,0xFFFF
16,40017,0,0,0x0000
17,40018,65497,-39,0xFFD9
18,40019,26112,26112,0x6600
19,40020,0,0,0x0000
20,40021,0,0,0x0000
21,40022,25600,25600,0x6400
22,40023,0,0,0x0000
23,40024,1281,1281,0x0501
24,40025,0,0,0x0000
25,40026,6147,6147,0x1803
26,40027,4096,4096,0x1000
27,40028,512,512,0x0200
28,40029,0,0,0x0000
29,40030,224,224,0x00E0
30,40031,8770,8770,0x2242
31,40032,12482,12482,0x30C2
32,40033,51200,-14336,0xC800
33,40034,0,0,0x0000
34,40035,49299,-16237,0xC093
35,40036,31170,31170,0x79C2
36,40037,0,0,0x0000
37,40038,0,0,0x0000
38,40039,109,109,0x006D
39,40040,544,544,0x0220
40,40041,512,512,0x0200
41,40042,6419,6419,0x1913
42,40043,4096,4096,0x1000
43,40044,512,512,0x0200
44,40045,0,0,0x0000
45,40046,160,160,0x00A0
46,40047,34337,-31199,0x8621
47,40048,41094,-24442,0xA086
48,40049,20736,20736,0x5100
49,40050,0,0,0x0000
50,40051,0,0,0x0000
51,40052,32831,-32705,0x803F
52,40053,116,116,0x0074
53,40054,1599,1599,0x063F
54,40055,0,0,0x0000
55,40056,0,0,0x0000
56,40057,1024,1024,0x0400
57,40058,5647,5647,0x160F
58,40059,512,512,0x0200
59,40060,0,0,0x0000
60,40061,8353,8353,0x20A1
61,40062,55248,-10288,0xD7D0
62,40063,56646,-8890,0xDD46
63,40064,125,125,0x007D
64,40065,20608,20608,0x5080
65,40066,35672,-29864,0x8B58
66,40067,2775,2775,0x0AD7
67,40068,41790,-23746,0xA33E
68,40069,13107,13107,0x3333
69,40070,45888,-19648,0xB340
70,40071,0,0,0x0000
71,40072,0,0,0x0000
72,40073,1280,1280,0x0500
73,40074,6,6,0x0006
74,40075,0,0,0x0000
75,40076,1794,1794,0x0702
76,40077,1288,1288,0x0508
77,40078,517,517,0x0205
78,40079,2816,2816,0x0B00
79,40080,256,256,0x0100
80,40081,1795,1795,0x0703
81,40082,512,512,0x0200
82,40083,0,0,0x0000
83,40084,0,0,0x0000
84,40085,0,0,0x0000
85,40086,0,0,0x0000
86,40087,0,0,0x0000
87,40088,0,0,0x0000
88,40089,0,0,0x0000
89,40090,0,0,0x0000
90,40091,2305,2305,0x0901
91,40092,256,256,0x0100
92,40093,0,0,0x0000
93,40094,0,0,0x0000
94,40095,5376,5376,0x1500
95,40096,30720,30720,0x7800
96,40097,0,0,0x0000
97,40098,0,0,0x0000
98,40099,25600,25600,0x6400
99,40100,30720,30720,0x7800
100,40101,0,0,0x0000
101,40102,0,0,0x0000
102,40103,2561,2561,0x0A01
103,40104,512,512,0x0200
104,40105,0,0,0x0000
105,40106,0,0,0x0000
106,40107,4352,4352,0x1100
107,40108,30720,30720,0x7800
108,40109,0,0,0x0000
109,40110,0,0,0x0000
110,40111,25600,25600,0x6400
111,40112,30720,30720,0x7800
112,40113,0,0,0x0000
113,40114,0,0,0x0000
114,40115,255,255,0x00FF
115,40116,63359,-2177,0xF77F
116,40117,65527,-9,0xFFF7
117,40118,32767,32767,0x7FFF
118,40119,63359,-2177,0xF77F
119,40120,65527,-9,0xFFF7
120,40121,32767,32767,0x7FFF
121,40122,63359,-2177,0xF77F
122,40123,65527,-9,0xFFF7
123,40124,32767,32767,0x7FFF
124,40125,63359,-2177,0xF77F
125,40126,65527,-9,0xFFF7
126,40127,32767,32767,0x7FFF
127,40128,63359,-2177,0xF77F
128,40129,65527,-9,0xFFF7
129,40130,32767,32767,0x7FFF
130,40131,63359,-2177,0xF77F
131,40132,65527,-9,0xFFF7
132,40133,32767,32767,0x7FFF
133,40134,63359,-2177,0xF77F
134,40135,65527,-9,0xFFF7
135,40136,32767,32767,0x7FFF
136,40137,63359,-2177,0xF77F
137,40138,65527,-9,0xFFF7
138,40139,32767,32767,0x7FFF
139,40140,63359,-2177,0xF77F
140,40141,65527,-9,0xFFF7
141,40142,32767,32767,0x7FFF
142,40143,63359,-2177,0xF77F
143,40144,65527,-9,0xFFF7
144,40145,32767,32767,0x7FFF
145,40146,63359,-2177,0xF77F
146,40147,65527,-9,0xFFF7
147,40148,32767,32767,0x7FFF
148,40149,63359,-2177,0xF77F
149,40150,65527,-9,0xFFF7
150,40151,32767,32767,0x7FFF
151,40152,63359,-2177,0xF77F
152,40153,65527,-9,0xFFF7
153,40154,32767,32767,0x7FFF
154,40155,63359,-2177,0xF77F
155,40156,65527,-9,0xFFF7
156,40157,32767,32767,0x7FFF
157,40158,63359,-2177,0xF77F
158,40159,65527,-9,0xFFF7
159,40160,32767,32767,0x7FFF
160,40161,63359,-2177,0xF77F
161,40162,65527,-9,0xFFF7
162,40163,32767,32767,0x7FFF
163,40164,63359,-2177,0xF77F
164,40165,65527,-9,0xFFF7
165,40166,32767,32767,0x7FFF
166,40167,63359,-2177,0xF77F
167,40168,65527,-9,0xFFF7
168,40169,32767,32767,0x7FFF
169,40170,63359,-2177,0xF77F
170,40171,65527,-9,0xFFF7
171,40172,32767,32767,0x7FFF
172,40173,63359,-2177,0xF77F
173,40174,65527,-9,0xFFF7
174,40175,32767,32767,0x7FFF
175,40176,63359,-2177,0xF77F
176,40177,65527,-9,0xFFF7
177,40178,32767,32767,0x7FFF
178,40179,63359,-2177,0xF77F
179,40180,65527,-9,0xFFF7
180,40181,32767,32767,0x7FFF
181,40182,63359,-2177,0xF77F
182,40183,65527,-9,0xFFF7
183,40184,32767,32767,0x7FFF
184,40185,63359,-2177,0xF77F
185,40186,65527,-9,0xFFF7
186,40187,32767,32767,0x7FFF
187,40188,63359,-2177,0xF77F
188,40189,65527,-9,0xFFF7
189,40190,32767,32767,0x7FFF
190,40191,63359,-2177,0xF77F
191,40192,65527,-9,0xFFF7
192,40193,32767,32767,0x7FFF
193,40194,63359,-2177,0xF77F
194,40195,65527,-9,0xFFF7
195,40196,32767,32767,0x7FFF
196,40197,63359,-2177,0xF77F
197,40198,65527,-9,0xFFF7
198,40199,32512,32512,0x7F00
199,40200,0,0,0x0000
200,40201,1,1,0x0001
201,40202,0,0,0x0000
202,40203,24,24,0x0018
203,40204,768,768,0x0300
204,40205,0,0,0x0000
205,40206,0,0,0x0000
206,40207,56,56,0x0038
207,40208,672,672,0x02A0
208,40209,3920,3920,0x0F50
209,40210,16480,16480,0x4060
210,40211,23120,23120,0x5A50
211,40212,63580,-1956,0xF85C
212,40213,2,2,0x0002
213,40214,0,0,0x0000
214,40215,0,0,0x0000
215,40216,0,0,0x0000
216,40217,0,0,0x0000
217,40218,0,0,0x0000
218,40219,0,0,0x0000
219,40220,0,0,0x0000
220,40221,6,6,0x0006
221,40222,33020,-32516,0x80FC
222,40223,23056,23056,0x5A10
223,40224,60249,-5287,0xEB59
224,40225,49304,-16232,0xC098
225,40226,23312,23312,0x5B10
226,40227,10064,10064,0x2750
227,40228,8270,8270,0x204E
228,40229,20480,20480,0x5000
229,40230,0,0,0x0000
230,40231,0,0,0x0000
231,40232,0,0,0x0000
232,40233,0,0,0x0000
233,40234,0,0,0x0000
234,40235,4,4,0x0004
235,40236,0,0,0x0000
236,40237,128,128,0x0080
237,40238,20737,20737,0x5101
238,40239,10,10,0x000A
239,40240,0,0,0x0000
240,40241,3,3,0x0003
241,40242,0,0,0x0000
242,40243,0,0,0x0000
243,40244,0,0,0x0000
244,40245,0,0,0x0000
245,40246,3,3,0x0003
246,40247,256,256,0x0100
247,40248,112,112,0x0070
248,40249,0,0,0x0000
249,40250,0,0,0x0000
250,40251,2,2,0x0002
251,40252,0,0,0x0000
252,40253,25,25,0x0019
253,40254,4864,4864,0x1300
254,40255,0,0,0x0000
255,40256,0,0,0x0000
256,40257,56,56,0x0038
257,40258,576,576,0x0240
258,40259,3395,3395,0x0D43
259,40260,8353,8353,0x20A1
260,40261,14160,14160,0x3750
261,40262,63548,-1988,0xF83C
262,40263,2,2,0x0002
263,40264,0,0,0x0000
264,40265,0,0,0x0000
265,40266,0,0,0x0000
266,40267,0,0,0x0000
267,40268,0,0,0x0000
268,40269,0,0,0x0000
269,40270,0,0,0x0000
270,40271,6,6,0x0006
271,40272,24750,24750,0x60AE
272,40273,14864,14864,0x3A10
273,40274,60217,-5319,0xEB39
274,40275,53,53,0x0035
275,40276,15392,15392,0x3C20
276,40277,41303,-24233,0xA157
277,40278,8353,8353,0x20A1
278,40279,18176,18176,0x4700
279,40280,0,0,0x0000
280,40281,0,0,0x0000
281,40282,0,0,0x0000
282,40283,0,0,0x0000
283,40284,0,0,0x0000
284,40285,4,4,0x0004
285,40286,0,0,0x0000
286,40287,128,128,0x0080
