start_address,end_address,register_count,non_zero_count
0,99,100,65
100,199,100,91
200,299,100,56
300,399,100,9
400,499,100,0
500,599,100,0
600,699,100,0
700,799,100,0
800,899,100,0
900,999,100,0
1000,1099,100,10
1100,1199,100,1
1200,1299,100,8
1300,1399,100,7
1400,1499,100,6
1500,1599,100,0
1600,1699,100,0
1700,1799,100,0
1800,1899,100,0
1900,1999,100,0
2000,2099,100,11
2100,2199,100,41
2200,2299,100,11
2300,2399,100,37
2400,2499,100,9
2500,2599,100,44
2600,2699,100,24
2700,2799,100,0
2800,2899,100,18
2900,2999,100,0
3000,3099,100,31
3100,3199,100,31
3200,3299,100,9
3300,3399,100,0
3400,3499,100,0
3500,3599,100,0
3600,3699,100,0
3700,3799,100,0
3800,3899,100,0
3900,3999,100,0
4000,4099,100,0
4100,4199,100,0
4200,4299,100,0
4300,4399,100,0
4400,4499,100,0
4500,4599,100,0
4600,4699,100,0
4700,4799,100,0
4800,4899,100,0
4900,4999,100,0
5000,5000,1,0
